,t,Ba,Zr,S,x,y,nBa,nZr,nS,Baat,Zrat,Sat,BZ,Ba/BZ,Baerr,Zrerr,Serr,BZerr
45,128.6,37.7,35.54,26.76,3,2,0.2745272233428241,0.3895904586512321,0.8345548105410885,18.31802643407671,25.99570357044476,55.68626999547853,0.7046559207154133,0.41337135087043364,0.5495407930223013,0.7798711071133428,1.6705880998643559,0.010288211777989375
46,104.0,38.31,34.85,26.84,2,2,0.27896917576296,0.38202665965096905,0.8370497427101201,18.62220881906033,25.501671326273524,55.87611985466615,0.7302348375839386,0.4220437721642585,0.5586662645718099,0.7650501397882057,1.6762835956399844,0.01034876908402625
50,56.5,46.57,26.06,27.37,45,4,0.33911758066512776,0.28567043760413924,0.8535786683299549,22.938664929282254,19.323381688293082,57.737953382424664,1.1870937136836386,0.5427722215360685,0.6881599478784676,0.5797014506487924,1.7321386014727398,0.010528984178956598
51,84.9,47.45,24.19,28.35,44,4,0.34552564317286477,0.2651714461106726,0.8841415874005927,23.114577416428244,17.739134680330807,59.146287903240946,1.303027336618496,0.5657889143998235,0.6934373224928473,0.5321740404099242,1.7743886370972284,0.010422972538737963
52,115.2,46.92,24.73,28.35,43,4,0.3416662418897959,0.27109094098044373,0.8841415874005927,22.82493971372417,18.110171934431847,59.06488835184398,1.260338101502416,0.5575883097598038,0.684748191411725,0.5433051580329554,1.7719466505553194,0.010465898212646157
53,150.8,49.41,23.16,27.43,42,4,0.35979814603100624,0.25388055774796103,0.8554498674567286,24.490582585864292,17.281030586344126,58.22838682779158,1.4171945627604712,0.5862972656789425,0.7347174775759288,0.5184309175903238,1.7468516048337475,0.010290643014170793
54,172.3,49.09,22.85,28.06,41,4,0.3574679414827383,0.250482329211611,0.8750974582878528,24.103603309386695,16.88970114154816,59.00669554906515,1.4271184023554184,0.587988785784187,0.7231080992816008,0.5066910342464448,1.7702008664719544,0.010278135354735582
55,200.1,45.82,26.12,28.05,40,4,0.33365616375512464,0.28632815925633603,0.8747855917667239,22.321573404468563,19.155333300832826,58.52309329469861,1.165292874517515,0.5381687106771519,0.6696472021340568,0.5746599990249848,1.7556927988409583,0.010544792786805717
56,224.9,45.46,26.73,27.81,39,4,0.3310346836383231,0.2930149960536701,0.8673007952596289,22.19697443346183,19.64762817158557,58.1553973949526,1.129753384969038,0.5304620680227078,0.6659092330038549,0.5894288451475671,1.744661921848578,0.010567232660129313
57,247.1,45.79,26.36,27.85,38,4,0.3334377070787245,0.2889590458651232,0.8685482613441449,22.364185391367982,19.380932435198954,58.25488217343307,1.1539272151194826,0.5357317587240161,0.6709255617410395,0.5814279730559686,1.747646465202992,0.010552433438742724
58,269.6,45.06,27.08,27.86,37,4,0.32812192795298817,0.29685170569148467,0.8688601278652737,21.96508985185681,19.871803231403128,58.16310691674006,1.1053395404572892,0.5250172331904261,0.6589526955557042,0.5961540969420938,1.744893207502202,0.010580048643786364
59,279.1,44.23,27.69,28.08,36,4,0.322077959905918,0.30353854248881873,0.8757211913301107,21.452732536597843,20.217872618367014,58.329394845035154,1.0610776386586298,0.5148169184685298,0.6435819760979352,0.6065361785510104,1.7498818453510545,0.010597287378914287
60,275.3,44.67,27.24,28.09,35,4,0.3252819911597865,0.29860563009734276,0.8760330578512397,21.686612878299076,19.908094758374123,58.4052923633268,1.0893364303069153,0.5213791395705937,0.6505983863489723,0.5972428427512236,1.7521587708998039,0.010587209981460514
61,276.1,44.6,27.32,28.08,34,4,0.3247722589148529,0.29948259230027185,0.8757211913301107,21.65182974281128,19.965825040251612,58.382345216937104,1.0844445295478968,0.520255883126382,0.6495548922843384,0.5989747512075484,1.7514703565081131,0.010589194129065668
62,277.4,44.73,27.23,28.04,33,4,0.3257189045125867,0.29849600982197666,0.874473725245595,21.73359401748941,19.917146359740016,58.349259622770575,1.0912001963002647,0.521805706708907,0.6520078205246822,0.5975143907922005,1.750477788683117,0.010586428434594352
63,276.7,43.7,28.2,28.1,32,4,0.31821855862284915,0.30912917653249145,0.8763449243723688,21.162473368912867,20.55800263263804,58.27952399844909,1.0294031841067655,0.5072442933806934,0.634874201067386,0.6167400789791412,1.7483857199534727,0.01060437518902002
64,269.8,44.14,27.6,28.26,31,4,0.3214225898767176,0.30255196001052354,0.881334788710432,21.352593891176603,20.098989108270402,58.54841700055301,1.0623715340186122,0.5151213137375589,0.6405778167352981,0.602969673248112,1.7564525100165902,0.01059690074468213
65,269.9,44.3,27.71,27.98,30,4,0.3225876921508516,0.303757783039551,0.8726025261188212,21.520939476826037,20.264731183085757,58.2143293400882,1.0619898819476465,0.5150315679262922,0.6456281843047811,0.6079419354925727,1.746429880202646,0.01059701555456229
66,271.8,43.12,29.01,27.86,29,4,0.31399506287911333,0.31800841883714814,0.8688601278652737,20.920959164747835,21.188362274025284,57.890678561226885,0.9873797178932863,0.4968248941072791,0.6276287749424351,0.6356508682207584,1.7367203568368066,0.010606174004571657
67,270.1,43.26,28.6,28.15,28,4,0.3150145273689806,0.3135139875471367,0.8779042569780134,20.911290118369735,20.8116813041007,58.27702857752958,1.0047861973674088,0.5011936927173815,0.627338703551092,0.6243504391230209,1.7483108573258872,0.010606541264313329
68,273.4,42.85,28.99,28.15,27,4,0.31202895279151227,0.31778917828641584,0.8779042569780134,20.695384990193233,21.0774331404718,58.22718186933498,0.9818740665558094,0.49542707234781813,0.620861549705797,0.6323229942141539,1.7468154560800493,0.010605714510892476
69,270.8,42.62,28.76,28.62,26,4,0.3103541182724446,0.3152679119529948,0.8925619834710745,20.44245726951019,20.766119858249084,58.79142287224073,0.9844139111712618,0.49607287352174967,0.6132737180853056,0.6229835957474725,1.7637426861672219,0.010605947404074185
70,271.4,42.06,29.16,28.77,25,4,0.3062762603129756,0.3196527229676401,0.8972399812880087,20.107832252196385,20.98603178001127,58.90613596779235,0.9581531402877531,0.48931471220220873,0.6032349675658916,0.629580953400338,1.7671840790337705,0.010601757666870146
